,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,Global_Sales
191,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,5.15
273,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,4.21
285,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,4.12
321,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,3.84
419,Tekken,PS,1995,Fighting,Sony Computer Entertainment,0.95,3.24
